id;secteur;sous_secteur;code;nom;version;date_debut;date_fin
BAR-EQ-113vA17-1;BAR;EQ;BAR-EQ-113;Dispositif d'affichage et d'interprétation des consommations pour un logement chauffé à l'électricité;A17-1;2015-01-01;2019-01-01
BAR-EQ-114vA17-1;BAR;EQ;BAR-EQ-114;Dispositif d'affichage et d'interprétation des consommations d'énergie pour un logement chauffé au combustible;A17-1;2015-01-01;2019-01-01
BAR-EQ-115vA28-1;BAR;EQ;BAR-EQ-115;Dispositif d'affichage et d'interprétation des consommations d'énergie;A28-1;2018-12-06;
BAR-SE-104vA19-1;BAR;SE;BAR-SE-104;Réglage des organes d'équilibrage d'une installation de chauffage à eau chaude;A19-1;2015-01-01;
BAR-SE-105vA28-1;BAR;SE;BAR-SE-105;Contrat de Performance Energétique Services (CPE Services);A28-1;2018-12-06;
BAR-SE-106vA32-1;BAR;SE;BAR-SE-106;Service de suivi des consommations d'énergie;A32-1;2020-01-10;
BAR-SE-107vA37-1;BAR;SE;BAR-SE-107;Abaissement de la température de retour vers un réseau de chaleur;A37-1;2021-12-17;
BAR-SE-108vA65-2;BAR;SE;BAR-SE-108;Désembouage d'un réseau hydraulique individuel de chauffage en France métropolitaine;A65-2;2025-04-01;
BAR-SE-109vA65-2;BAR;SE;BAR-SE-109;Désembouage d'un réseau hydraulique de chauffage collectif en France métropolitaine;A65-2;2025-04-01;
BAR-TH-101vA62-2;BAR;TH;BAR-TH-101;Chauffe-eau solaire individuel (France métropolitaine);A62-2;2025-01-01;
BAR-TH-102vA17-1;BAR;TH;BAR-TH-102;Chauffe-eau solaire collectif (France métropolitaine);A17-1;2015-01-01;
BAR-TH-104vA41-1;BAR;TH;BAR-TH-104;Pompe à chaleur de type air/eau ou eau/eau;A41-1;2021-12-17;2024-01-01
BAR-TH-106vA23-2;BAR;TH;BAR-TH-106;Chaudière individuelle à haute performance énergétique;A23-2;2016-10-20;2024-01-01
BAR-TH-107-SEvA14-1;BAR;TH;BAR-TH-107-SE;Chaudière collective haute performance énergétique avec contrat assurant la conduite de l'installation;A14-1;2015-01-01;2025-01-01
BAR-TH-107vA14-1;BAR;TH;BAR-TH-107;Chaudière collective haute performance énergétique;A14-1;2015-01-01;2025-01-01
BAR-TH-110vA16-1;BAR;TH;BAR-TH-110;Radiateur basse température pour un chauffage central;A16-1;2015-01-01;
BAR-TH-111vA17-1;BAR;TH;BAR-TH-111;Régulation par sonde de température extérieure;A17-1;2015-01-01;
BAR-TH-112vA46-3;BAR;TH;BAR-TH-112;Appareil indépendant de chauffage au bois;A46-3;2015-01-01;
BAR-TH-113vA41-3;BAR;TH;BAR-TH-113;Chaudière biomasse individuelle;A41-3;2015-01-01;
BAR-TH-115vA20-1;BAR;TH;BAR-TH-115;Isolation d'un réseau hydraulique de chauffage;A20-1;2016-02-08;2018-04-01
BAR-TH-116vA17-1;BAR;TH;BAR-TH-116;Plancher chauffant hydraulique à basse température;A17-1;2015-01-01;
BAR-TH-117vA14-1;BAR;TH;BAR-TH-117;Robinet thermostatique;A14-1;2015-01-01;
BAR-TH-118vA14-1;BAR;TH;BAR-TH-118;Système de régulation par programmation d'intermittence;A14-1;2015-01-01;2024-01-01
BAR-TH-121vA27-1;BAR;TH;BAR-TH-121;Système de comptage individuel d'énergie de chauffage;A27-1;2017-12-22;2020-10-01
BAR-TH-122vA15-1;BAR;TH;BAR-TH-122;Récupérateur de chaleur à condensation;A15-1;2015-01-01;
BAR-TH-123vA54-2;BAR;TH;BAR-TH-123;Optimiseur de relance en chauffage collectif;A54-2;2015-01-01;
BAR-TH-124vA35-1;BAR;TH;BAR-TH-124;Chauffe-eau solaire individuel (France d'outre mer);A35-1;2020-07-24;
BAR-TH-125vA54-5;BAR;TH;BAR-TH-125;Système de ventilation double flux autoréglable ou modulé à haute performance (France métropolitaine);A54-5;2015-01-01;
BAR-TH-127vA58-6;BAR;TH;BAR-TH-127;Ventilation mécanique simple flux hygroréglable (France métropolitaine);A58-6;2015-01-01;
BAR-TH-129vA27-1;BAR;TH;BAR-TH-129;Pompe à chaleur de type air/air;A27-1;2017-12-22;
BAR-TH-130vA58-3;BAR;TH;BAR-TH-130;Surperformance énergétique pour un bâtiment neuf (France métropolitaine);A58-3;2015-01-01;
BAR-TH-131vA20-1;BAR;TH;BAR-TH-131;Isolation d'un réseau hydraulique d'eau chaude sanitaire;A20-1;2016-02-08;2018-04-01
BAR-TH-135vA35-2;BAR;TH;BAR-TH-135;Chauffe-eau solaire collectif (France d'outre mer);A35-2;2020-07-24;
BAR-TH-137vA45-3;BAR;TH;BAR-TH-137;Raccordement d'un bâtiment résidentiel à un réseau de chaleur;A45-3;2017-07-26;
BAR-TH-139vA23-2;BAR;TH;BAR-TH-139;Système de variation électronique de vitesse sur une pompe;A23-2;2016-10-20;
BAR-TH-141vA15-1;BAR;TH;BAR-TH-141;Climatiseur performant (France d'outre-mer);A15-1;2015-01-01;
BAR-TH-143vA51-5;BAR;TH;BAR-TH-143;Système solaire combiné (France métropolitaine);A51-5;2015-01-01;
BAR-TH-145vA52-1;BAR;TH;BAR-TH-145;Rénovation globale d'un bâtiment résidentiel (France métropolitaine);A52-1;2023-06-13;2024-11-01
BAR-TH-148vA15-2;BAR;TH;BAR-TH-148;Chauffe-eau thermodynamique à accumulation;A15-2;2015-01-01;
BAR-TH-150vA14-1;BAR;TH;BAR-TH-150;Pompe à chaleur collective à absorption de type air/eau ou eau/eau;A14-1;2015-01-01;
BAR-TH-155vA40-4;BAR;TH;BAR-TH-155;Ventilation hybride hygroréglable (France métropolitaine);A40-4;2015-01-01;
BAR-TH-158vA35-2;BAR;TH;BAR-TH-158;Émetteur électrique à régulation électronique à fonctions avancées;A35-2;2020-07-24;
BAR-TH-159vA50-4;BAR;TH;BAR-TH-159;Pompe à chaleur hybride individuelle;A50-4;2015-01-01;
BAR-TH-160vA54-4;BAR;TH;BAR-TH-160;Isolation d'un réseau hydraulique de chauffage ou d'eau chaude sanitaire;A54-4;2015-01-01;
BAR-TH-161vA54-2;BAR;TH;BAR-TH-161;Isolation de points singuliers d'un réseau;A54-2;2015-01-01;
BAR-TH-162vA28-1;BAR;TH;BAR-TH-162;Système énergétique comportant des capteurs solaires photovoltaïques et thermiques à circulation d'eau (France métropolitaine);A28-1;2018-12-06;
BAR-TH-163vA61-3;BAR;TH;BAR-TH-163;Conduit d'évacuation des produits de combustion;A61-3;2024-03-30;2024-12-31
BAR-TH-164vA52-1;BAR;TH;BAR-TH-164;Rénovation globale d'une maison individuelle (France métropolitaine);A52-1;2023-06-13;2024-01-01
BAR-TH-165vA34-1;BAR;TH;BAR-TH-165;Chaudière biomasse collective;A34-1;2020-07-24;
BAR-TH-166vA38-1;BAR;TH;BAR-TH-166;Pompe à chaleur collective de type air/eau ou eau/eau;A38-1;2015-01-01;
BAR-TH-167vA38-1;BAR;TH;BAR-TH-167;Chauffe-bain individuel à haut rendement ou à condensation (France métropolitaine);A38-1;2015-01-01;
BAR-TH-168vA65-2;BAR;TH;BAR-TH-168;Dispositif solaire thermique (France métropolitaine);A65-2;2025-04-01;
BAR-TH-169vA65-2;BAR;TH;BAR-TH-169;Pompe à chaleur collective de type air/eau ou eau/eau pour l'eau chaude sanitaire;A65-2;2025-04-01;
BAR-TH-170vA54-1;BAR;TH;BAR-TH-170;Récupération de chaleur fatale issue de serveurs informatiques pour l'eau chaude sanitaire collective;A54-1;2023-09-15;
BAR-TH-171vA62-2;BAR;TH;BAR-TH-171;Pompe à chaleur de type air/eau;A62-2;2025-01-01;
